Tag	C1	C2	P.value
RXFP3	1	10	0.0040963766775223
TIE1	1	10	0.0040963766775223
TRIP11	1	10	0.0040963766775223
TTC37	1	9	0.00803327331464913
UBE3A	0	11	0.000243499006192789
ANKK1	1	9	0.00803327331464913
CEP162	1	9	0.00803327331464913
CSGALNACT2	1	9	0.00803327331464913
FBXO24	1	9	0.00803327331464913
OR10V1	1	9	0.00803327331464913
OR4C11	10	0	0.00199488104701673
UHRF1BP1	0	10	0.000524875635571123
WDPCP	1	9	0.00803327331464913
BPIFB2	0	9	0.00112871486233436
GABRB2	0	8	0.00242151602624156
KIAA0226	0	8	0.00242151602624156
MYO1A	0	8	0.00242151602624156
MYO6	8	0	0.00792211396451656
NT5C1A	0	9	0.00112871486233436
STON1-GTF2A1L	0	8	0.00242151602624156
ZNF451	0	8	0.00242151602624156
ALCAM	0	7	0.005182893950903
ALPP	0	8	0.00242151602624156
CHEK2	0	8	0.00242151602624156
ECT2L	0	8	0.00242151602624156
KRT9	0	8	0.00242151602624156
PAQR9	8	0	0.00792211396451656
AGAP2	0	7	0.005182893950903
ANKRD1	0	7	0.005182893950903
C12orf42	0	7	0.005182893950903
FOXF2	0	7	0.005182893950903
IRX3	0	7	0.005182893950903
ITPRIP	0	7	0.005182893950903
KLHL7	0	7	0.005182893950903
UGT8	0	7	0.005182893950903
WDR3	0	7	0.005182893950903
